position,ppr_points,var,moving_avg,up_vol,down_vol,hv_plays,hv_points,ou,def_rk,attempts,conv_rate,ay_att,yac_att,yds_route
WR,9.60,0.64,6.10,2.03,0.14,1,7.30,44,30,4,0.50,6.00,1.19,7.19
WR,11.82,0.50,11.46,1.76,0.37,0,0,44,30,8,0.50,1.36,0.05,1.41
TE,10.80,0.86,5.28,2.34,0.29,1,7.10,44,30,3,1.00,0.00,2.00,2.00
WR,18.00,0.70,8.88,2.01,0.38,1,14.50,46,19,4,0.75,4.00,2.75,6.75
WR,3.90,0.73,14.42,2.16,0.22,0,0,46,25,7,0.29,1.76,0.33,2.08
TE,14.80,0.74,7.80,2.08,0.32,2,10.80,46,25,5,0.80,2.60,0.44,3.04
WR,11.10,0.42,11.96,1.57,0.44,0,0,46,25,13,0.54,0.64,0.06,0.70
TE,5.60,0.58,11.90,1.88,0.45,1,4.20,46,19,2,1.00,6.75,2.25,9.00
WR,4.30,0.51,6.84,1.79,0.52,0,0,46,25,4,0.50,3.13,0.13,3.25
WR,22.00,0.50,9.36,1.76,0.45,1,11.40,46,19,8,0.63,0.92,0.56,1.49
WR,11.90,0.68,6.02,2.13,0.31,1,3.40,46,25,8,0.88,0.80,0.36,1.16
WR,2.90,0.67,9.02,1.91,0.34,0,0,46,25,2,0.50,16.00,0.00,16.00
