Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,Dalvin Cook (13251736),Dalvin Cook,13251736,RB/FLEX,6000,ATL@MIN 09/08/2019 01:00PM ET,MIN,14.27
RB,Derrick Henry (13251599),Derrick Henry,13251599,RB/FLEX,5900,TEN@CLE 09/08/2019 01:00PM ET,TEN,13.02
WR,Alshon Jeffery (13251363),Alshon Jeffery,13251363,WR/FLEX,5900,WAS@PHI 09/08/2019 01:00PM ET,PHI,14.45
WR,Cooper Kupp (13251572),Cooper Kupp,13251572,WR/FLEX,5700,LAR@CAR 09/08/2019 01:00PM ET,LAR,17.26
QB,Carson Wentz (13251516),Carson Wentz,13251516,QB,5700,WAS@PHI 09/08/2019 01:00PM ET,PHI,20.15
WR,Jarvis Landry (13251425),Jarvis Landry,13251425,WR/FLEX,5600,TEN@CLE 09/08/2019 01:00PM ET,CLE,14.38
QB,Josh Allen (13251855),Josh Allen,13251855,QB,5600,BUF@NYJ 09/08/2019 01:00PM ET,BUF,19
WR,D.J. Moore (13251872),D.J. Moore,13251872,WR/FLEX,5500,LAR@CAR 09/08/2019 01:00PM ET,CAR,10.19
QB,Kirk Cousins (13251319),Kirk Cousins,13251319,QB,5500,ATL@MIN 09/08/2019 01:00PM ET,MIN,19.7
QB,Nick Foles (13251318),Nick Foles,13251318,QB,5300,KC@JAX 09/08/2019 01:00PM ET,JAX,17.26
RB,Devonta Freeman (13251438),Devonta Freeman,13251438,RB/FLEX,5300,ATL@MIN 09/08/2019 01:00PM ET,ATL,7.05
QB,Marcus Mariota (13251494),Marcus Mariota,13251494,QB,5200,TEN@CLE 09/08/2019 01:00PM ET,TEN,13.71
WR,Robby Anderson (13251501),Robby Anderson,13251501,WR/FLEX,5200,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,11.74
RB,Mark Ingram II (13251326),Mark Ingram II,13251326,RB/FLEX,5100,BAL@MIA 09/08/2019 01:00PM ET,BAL,11.67
WR,Calvin Ridley (13251905),Calvin Ridley,13251905,WR/FLEX,5100,ATL@MIN 09/08/2019 01:00PM ET,ATL,13.18
QB,Sam Darnold (13251887),Sam Darnold,13251887,QB,5100,BUF@NYJ 09/08/2019 01:00PM ET,NYJ,14.72
WR,Sammy Watkins (13251457),Sammy Watkins,13251457,WR/FLEX,5000,KC@JAX 09/08/2019 01:00PM ET,KC,12.54
WR,Corey Davis (13251597),Corey Davis,13251597,WR/FLEX,4900,TEN@CLE 09/08/2019 01:00PM ET,TEN,11.85
QB,Ryan Fitzpatrick (13251271),Ryan Fitzpatrick,13251271,QB,4900,BAL@MIA 09/08/2019 01:00PM ET,MIA,23.86
QB,Case Keenum (13251301),Case Keenum,13251301,QB,4900,WAS@PHI 09/08/2019 01:00PM ET,WAS,15.06
RB,Darrell Henderson Jr. (13251943),Darrell Henderson Jr.,13251943,RB/FLEX,4800,LAR@CAR 09/08/2019 01:00PM ET,LAR,0
