season,player,tm,fantpos,g,rush_att,rush_yds,y_a,rush_td,tgt,rec,yds,rec_td,ppr
2017,Zay Jones,BUF,WR,15,0,0,"",0,74,27,316,2,70.6
2017,John Brown,ARI,WR,10,1,10,10,0,55,21,299,3,69.9
2017,Kyle Juszczyk,SFO,RB,14,7,31,4.43,0,42,33,315,1,69.6
2017,Corey Davis,TEN,WR,11,0,0,"",0,65,34,375,0,69.5
2017,Mike Gillislee,NWE,RB,9,104,383,3.68,5,1,1,15,0,68.8
2017,Rashard Higgins,CLE,WR,15,1,4,4,0,50,27,312,2,68.6
2017,Josh Bellamy,CHI,WR,15,1,6,6,0,46,24,376,1,68.2
2017,Kerwynn Williams,ARI,RB,16,120,426,3.55,1,15,10,93,0,67.9
2017,Jamaal Charles,DEN,RB,14,69,296,4.29,1,28,23,129,0,67.5
2017,Dede Westbrook,JAX,WR,7,0,0,"",0,51,27,339,1,66.9
2017,Corey Coleman,CLE,WR,9,0,0,"",0,58,23,305,2,65.5
2017,Dalvin Cook,MIN,RB,4,74,354,4.78,2,16,11,90,0,65.4
2017,Dontrelle Inman,2TM,WR,12,0,0,"",0,44,25,343,1,65.3
2017,Stephen Anderson,HOU,TE,15,0,0,"",0,52,25,342,1,65.2
2017,Brice Butler,DAL,WR,13,0,0,"",0,23,15,317,3,64.7
2017,Nick OLeary,BUF,TE,15,0,0,"",0,32,22,322,2,64.2
2017,Coby Fleener,NOR,TE,11,0,0,"",0,30,22,295,2,63.5
2017,Ricardo Louis,CLE,WR,16,0,0,"",0,61,27,357,0,62.7
2017,Cody Latimer,DEN,WR,11,0,0,"",0,31,19,287,2,61.7
2017,Tyler Higbee,LAR,TE,16,0,0,"",0,45,25,295,1,60.5
2017,Tavarres King,NYG,WR,8,2,3,1.5,0,37,18,240,3,60.3
2017,Justin Hardy,ATL,WR,16,0,0,"",0,29,20,221,3,60.1
2017,Jordan Reed,WAS,TE,6,0,0,"",0,35,27,211,2,60.1
2017,Chris Moore,BAL,WR,13,2,-9,-4.5,0,38,18,248,3,59.9
2017,Damien Williams,MIA,RB,11,46,181,3.93,0,28,20,155,1,59.6
2017,Rhett Ellison,NYG,TE,16,0,0,"",0,32,24,235,2,59.5
2017,Martellus Bennett,2TM,TE,9,0,0,"",0,44,30,286,0,58.6
2017,Danny Woodhead,BAL,RB,8,14,56,4,0,39,33,200,0,58.6
2017,Chester Rogers,IND,WR,11,3,8,2.67,0,37,23,284,1,58.2
2017,Kenny Britt,2TM,WR,12,0,0,"",0,43,20,256,2,57.6
2017,Josh Gordon,CLE,WR,5,0,0,"",0,42,18,335,1,57.5
2017,Jordan Matthews,BUF,WR,10,0,0,"",0,36,25,282,1,57.2
2017,DOnta Foreman,HOU,RB,10,78,327,4.19,2,8,6,83,0,57
2017,Aldrick Robinson,SFO,WR,16,0,0,"",0,48,19,260,2,57
2017,Benny Cunningham,CHI,RB,14,9,29,3.22,0,26,20,240,2,56.9
2017,Tyler Boyd,CIN,WR,10,0,0,"",0,32,22,225,2,56.5
2017,A.J. Derby,2TM,TE,11,0,0,"",0,40,21,244,2,55.4
2017,Luke Willson,SEA,TE,16,0,0,"",0,22,15,153,4,54.3
2017,Darren Fells,DET,TE,16,0,0,"",0,26,17,177,3,52.7
2017,Michael Campanaro,BAL,WR,13,5,42,8.4,0,27,19,173,1,52.5
2017,Mike Davis,SEA,RB,6,68,240,3.53,0,18,15,131,0,52.1
2017,Gerald Everett,LAR,TE,16,1,13,13,0,32,16,244,2,51.7
2017,Mike Tolbert,BUF,RB,12,66,247,3.74,1,17,14,78,0,50.5
2017,Nick Boyle,BAL,TE,15,0,0,"",0,37,28,203,0,50.3
2017,Ricky Seals-Jones,ARI,TE,10,0,0,"",0,28,12,201,3,50.1
2017,Terrelle Pryor,WAS,WR,9,0,0,"",0,37,20,240,1,50
2017,Jarius Wright,MIN,WR,16,0,0,"",0,25,18,198,2,49.8
2017,Taywan Taylor,TEN,WR,16,8,43,5.38,0,28,16,231,1,49.4
2017,Jacquizz Rodgers,TAM,RB,16,64,244,3.81,1,11,9,74,0,46.8
2017,Wendell Smallwood,PHI,RB,8,47,174,3.7,1,18,13,103,0,46.7
2017,Demetrius Harris,KAN,TE,16,0,0,"",0,35,18,224,1,46.4
2017,Geronimo Allison,GNB,WR,15,0,0,"",0,39,23,253,0,46.3
2017,Jonnu Smith,TEN,TE,16,0,0,"",0,30,18,157,2,45.7
2017,Jeremy Kerley,NYJ,WR,8,0,0,"",0,27,22,217,1,45.7
2017,Russell Shepard,CAR,WR,15,2,19,9.5,0,32,17,202,1,45.1
2017,Malcolm Brown,LAR,RB,11,63,246,3.9,1,11,9,53,0,44.9
2017,Johnny Holton,OAK,WR,16,0,0,"",0,18,9,218,3,44.8
2017,Alfred Blue,HOU,RB,11,71,262,3.69,1,9,7,54,0,44.6
2017,Mack Hollins,PHI,WR,16,0,0,"",0,22,16,226,1,44.6
2017,Jakeem Grant,MIA,WR,16,3,12,4,0,22,13,203,2,44.5
2017,Lance Kendricks,GNB,TE,16,0,0,"",0,35,18,203,1,44.3
2017,Robert Kelley,WAS,RB,7,62,194,3.13,3,7,4,18,0,43.2
2017,Andre Holmes,BUF,WR,14,0,0,"",0,22,13,120,3,43
2017,Adam Shaheen,CHI,TE,13,0,0,"",0,14,12,127,3,42.7
2017,Tavon Austin,LAR,WR,16,59,270,4.58,1,22,13,47,0,42.7
2017,Demarcus Robinson,KAN,WR,16,0,0,"",0,39,21,212,0,42.2
2017,Greg Olsen,CAR,TE,7,0,0,"",0,38,17,191,1,42.1
2017,Corey Grant,JAX,RB,16,30,248,8.27,2,4,3,41,0,41.9
2017,Kendrick Bourne,SFO,WR,11,0,0,"",0,34,16,257,0,41.7
2017,Braxton Miller,HOU,WR,11,1,1,1,0,29,19,162,1,41.3
2017,Kapri Bibbs,WAS,RB,3,21,79,3.76,0,17,14,128,1,40.7
2017,DeAnthony Thomas,KAN,WR,16,1,4,4,0,16,14,143,2,40.7
2017,Laquon Treadwell,MIN,WR,16,0,0,"",0,35,20,200,0,40
2017,Chris Carson,SEA,RB,4,49,208,4.24,0,8,7,59,1,39.7
