pos,rank_full,rank_full_alt,rank_slim,standard_abs_rk,standard_value_rk,sim_abs_rk,sim_value_rk,exp_points_for,exp_points_ag,ou,spread,abs_spread,salary,points,points_per_salary
QB,28.71835443,30.55555556,32.48945148,27,20,29,23,22.5,25.5,48,-3,3,4900,0.48,0.097959184
RB,45.25,38,54,65,67,43,6,24.25,20.25,44.5,4,4,3600,0.4,0.111111111
TE,41,39,44.5,48,47,41,28,23.25,18.75,42,4.5,4.5,3600,0.4,0.111111111
RB,44,40,57.5,65,56,50,5,29.25,14.75,44,14.5,14.5,3500,0.4,0.114285714
RB,63.75,72,86,91,39,81,44,23.5,18.5,42,5,5,3400,0.4,0.117647059
RB,55.25,64,41.5,30,29,53,109,22,23,45,-1,1,5100,0.6,0.117647059
WR,53.75,43,40.5,47,86,34,48,22.5,23.5,46,-1,1,5300,0.64,0.120754717
RB,56.25,64.33333333,71.5,70,32,73,50,21.75,19.25,41,2.5,2.5,3200,0.4,0.125
RB,64.75,82.66666667,102.5,101,11,104,43,14,27.5,41.5,-13.5,13.5,3000,0.4,0.133333333
RB,47.25,30,38.5,58,99,19,13,23,26,49,-3,3,4500,0.6,0.133333333
WR,55.75,67,94.5,98,22,91,12,22.75,17.75,40.5,5,5,3700,0.5,0.135135135
WR,111,130,130.5,115,54,146,129,32.75,18.75,51.5,14,14,3700,0.5,0.135135135
RB,85,80.33333333,118.5,123,99,114,4,27.5,24.5,52,3,3,4300,0.6,0.139534884
RB,78,72.66666667,107,109,94,105,4,26.5,17,43.5,9.5,9.5,4800,0.7,0.145833333
RB,55,64.33333333,75.5,71,27,80,42,22.25,18.25,40.5,4,4,3900,0.6,0.153846154
RB,90.75,88,122.5,129,99,116,19,26,29,55,-3,3,4500,0.7,0.155555556
RB,59.75,63.33333333,73.5,76,49,71,43,24.75,21.75,46.5,3,3,5100,0.8,0.156862745
RB,86,103,102,90,35,114,105,18.75,25.25,44,-6.5,6.5,3800,0.6,0.157894737
WR,109.5,125,100,79,63,121,175,24.25,24.25,48.5,0,0,4400,0.7,0.159090909
WR,84.25,60.66666667,57,68,155,46,68,20,26.5,46.5,-6.5,6.5,6900,1.1,0.15942029
QB,32.5,43,29.5,15,1,44,70,24.75,21.75,46.5,3,3,4500,0.72,0.16
WR,77.75,83.33333333,51,37,61,65,148,21.5,29.5,51,-8,8,5600,0.9,0.160714286
RB,55.75,73.33333333,73,68,3,78,74,21.5,24.5,46,-3,3,3100,0.5,0.161290323
TE,29.25,34.33333333,37.5,38,14,37,28,26.5,17,43.5,9.5,9.5,4200,0.7,0.166666667
