season,week,weekday,game_date,game_hour,favorite,underdog,spread,total
2016,1,Sun,2016-09-11,8,NE,ARI,-8.5,44
2016,1,Mon,2016-09-12,7,PIT,WAS,-2.5,49
2016,1,Mon,2016-09-12,10,LA,SF,-2.5,43.5
2016,2,Thu,2016-09-15,8,NYJ,BUF,0,40.5
2016,2,Sun,2016-09-18,4,ATL,OAK,-4,48
2016,2,Sun,2016-09-18,4,IND,DEN,-6,47
2016,2,Sun,2016-09-18,8,GB,MIN,-2,43
2016,2,Sun,2016-09-18,1,MIA,NE,-5.5,42
2016,2,Sun,2016-09-18,1,KC,HOU,-1,42
2016,2,Sun,2016-09-18,1,TEN,DET,-6,48
2016,2,Sun,2016-09-18,1,CIN,PIT,-3,48
2016,2,Sun,2016-09-18,1,BAL,CLE,-4.5,42
2016,2,Sun,2016-09-18,4,SEA,LA,-5.5,38
2016,2,Sun,2016-09-18,4,JAC,SD,-3,47.5
2016,2,Sun,2016-09-18,1,TB,ARI,-7,49.5
2016,2,Sun,2016-09-18,1,SF,CAR,-12.5,44.5
2016,2,Sun,2016-09-18,1,NO,NYG,-4,54.5
2016,2,Sun,2016-09-18,1,DAL,WAS,-3,47
2016,2,Mon,2016-09-19,8,PHI,CHI,-3,43
2016,3,Thu,2016-09-22,8,HOU,NE,-1,38.5
2016,3,Sun,2016-09-25,4,SF,SEA,-10.5,41.5
2016,3,Sun,2016-09-25,1,DEN,CIN,-3.5,41.5
2016,3,Sun,2016-09-25,1,OAK,TEN,-1.5,47
2016,3,Sun,2016-09-25,1,ARI,BUF,-5,48
2016,3,Sun,2016-09-25,1,BAL,JAC,-2,45
2016,3,Sun,2016-09-25,1,CLE,MIA,-10,42.5
2016,3,Sun,2016-09-25,1,WAS,NYG,-3.5,47
2016,3,Sun,2016-09-25,1,DET,GB,-6.5,47.5
2016,3,Sun,2016-09-25,1,MIN,CAR,-6.5,42.5
2016,3,Sun,2016-09-25,4,LA,TB,-3.5,40.5
2016,3,Sun,2016-09-25,4,PIT,PHI,-4,46.5
2016,3,Sun,2016-09-25,4,NYJ,KC,-3,44.5
2016,3,Sun,2016-09-25,4,SD,IND,-1.5,51.5
2016,3,Sun,2016-09-25,8,CHI,DAL,-6.5,45
2016,3,Mon,2016-09-26,8,ATL,NO,-3,54.5
2016,4,Thu,2016-09-29,8,MIA,CIN,-7.5,46.5
2016,4,Sun,2016-10-02,4,NO,SD,-4,54
2016,4,Sun,2016-10-02,8,KC,PIT,-3.5,48.5
2016,4,Sun,2016-10-02,4,DAL,SF,-1.5,44
2016,4,Sun,2016-10-02,4,LA,ARI,-9.5,43.5
2016,4,Sun,2016-10-02,9,IND,JAC,-1,48.5
2016,4,Sun,2016-10-02,1,CLE,WAS,-7.5,48
2016,4,Sun,2016-10-02,1,BUF,NE,-3.5,41
2016,4,Sun,2016-10-02,1,SEA,NYJ,-1,40
2016,4,Sun,2016-10-02,1,CAR,ATL,-3,48.5
2016,4,Sun,2016-10-02,1,DET,CHI,-3.5,48
2016,4,Sun,2016-10-02,1,TEN,HOU,-4,40.5
2016,4,Sun,2016-10-02,1,OAK,BAL,-3.5,45
2016,4,Sun,2016-10-02,4,DEN,TB,-3.5,43
2016,4,Mon,2016-10-03,8,NYG,MIN,-4,42.5
2016,5,Thu,2016-10-06,8,ARI,SF,-3.5,42.5
2016,5,Sun,2016-10-09,1,NE,CLE,-10,48
2016,5,Sun,2016-10-09,1,HOU,MIN,-6,38.5
2016,5,Sun,2016-10-09,1,TEN,MIA,-2.5,44
2016,5,Sun,2016-10-09,1,NYJ,PIT,-9.5,50
2016,5,Sun,2016-10-09,1,WAS,BAL,-4,44.5
2016,5,Sun,2016-10-09,1,PHI,DET,-3.5,46
2016,5,Sun,2016-10-09,1,CHI,IND,-4,47.5
2016,5,Sun,2016-10-09,4,ATL,DEN,-4,44.5
2016,5,Sun,2016-10-09,4,BUF,LA,-2.5,41.5
2016,5,Sun,2016-10-09,4,SD,OAK,-3.5,51
2016,5,Sun,2016-10-09,4,CIN,DAL,-2.5,45.5
2016,5,Sun,2016-10-09,8,NYG,GB,-7,50
2016,5,Mon,2016-10-10,8,TB,CAR,-6,47
2016,6,Thu,2016-10-13,8,DEN,SD,-3,44.5
2016,6,Sun,2016-10-16,4,ATL,SEA,-7,45.5
2016,6,Sun,2016-10-16,8,IND,HOU,-3,48
2016,6,Sun,2016-10-16,4,KC,OAK,-2,47
2016,6,Sun,2016-10-16,4,DAL,GB,-5,47
2016,6,Sun,2016-10-16,1,CIN,NE,-7.5,48.5
2016,6,Sun,2016-10-16,1,BAL,NYG,-3.5,42.5
2016,6,Sun,2016-10-16,1,CAR,NO,-3,54
2016,6,Sun,2016-10-16,1,PIT,MIA,-7.5,49.5
2016,6,Sun,2016-10-16,1,JAC,CHI,-2.5,46
2016,6,Sun,2016-10-16,1,SF,BUF,-7.5,44
2016,6,Sun,2016-10-16,1,LA,DET,-3,44.5
2016,6,Sun,2016-10-16,1,CLE,TEN,-7.5,45
2016,6,Sun,2016-10-16,1,PHI,WAS,-3,45
2016,6,Mon,2016-10-17,8,NYJ,ARI,-7,46
2016,7,Thu,2016-10-20,8,CHI,GB,-7.5,46.5
2016,7,Sun,2016-10-23,1,WAS,DET,-1,50
2016,7,Sun,2016-10-23,1,BUF,MIA,-2.5,46
2016,7,Sun,2016-10-23,4,NE,PIT,-7.5,49.5
2016,7,Sun,2016-10-23,1,OAK,JAC,-2,47.5
2016,7,Sun,2016-10-23,8,SEA,ARI,-2.5,43
2016,7,Sun,2016-10-23,4,TB,SF,-1,45.5
2016,7,Sun,2016-10-23,4,SD,ATL,-5,53
2016,7,Sun,2016-10-23,1,BAL,NYJ,-2,40.5
2016,7,Sun,2016-10-23,1,NO,KC,-6.5,51.5
2016,7,Sun,2016-10-23,1,CLE,CIN,-11.5,46.5
2016,7,Sun,2016-10-23,1,IND,TEN,-4,48.5
2016,7,Sun,2016-10-23,9,NYG,LA,-3,45.5
2016,7,Sun,2016-10-23,1,MIN,PHI,-3,39
2016,7,Mon,2016-10-24,8,HOU,DEN,-8.5,40
2016,8,Thu,2016-10-27,8,JAC,TEN,-3,43.5
2016,8,Sun,2016-10-30,4,SD,DEN,-3.5,43.5
2016,8,Sun,2016-10-30,8,CIN,WAS,-3,49.5
2016,8,Sun,2016-10-30,4,GB,ATL,-3,51
2016,8,Sun,2016-10-30,1,DET,HOU,-1,46.5
