game_id,receiver_player_id,hv_plays,avg_rz_targets,hv_plays_moving_avg16,hv_plays_moving_avg8,hv_plays_moving_avg4
2009122710,00-0026937,1,1.67,2.00,2.00,2.00
2012121600,00-0024334,1,2.22,2.19,2.38,2.00
2010103102,00-0024334,2,2.92,1.77,1.88,1.75
2015111600,00-0031302,1,1.00,1.00,1.00,1.00
2017112302,00-0031941,4,1.63,1.31,1.25,1.50
2012102103,00-0027156,2,1.00,1.00,1.00,1.00
2018110800,00-0030470,1,1.05,1.19,1.00,1.00
2016112703,00-0024389,2,1.45,1.56,1.50,1.50
2018121604,00-0028097,1,1.00,1.00,1.00,1.00
2019120810,00-0034775,1,1.08,1.67,1.63,2.00
2019102703,00-0035535,2,1.00,2.00,2.00,2.00
2013111709,00-0028067,2,2.33,1.71,1.71,1.75
2018093001,00-0026189,2,1.45,1.75,1.88,1.75
2010092608,00-0021931,2,1.17,1.43,1.43,1.50
2018100800,00-0025394,1,1.22,1.19,1.25,1.00
2015100406,00-0031408,1,1.42,1.80,1.50,1.00
2011122408,00-0027691,1,1.10,1.33,1.38,1.50
2013090806,00-0027651,1,1.15,1.13,1.13,1.00
2012010111,00-0024813,1,1.29,1.00,1.00,1.00
2011102305,00-0027789,2,2.00,2.00,2.00,2.00
2016091104,00-0026995,2,1.61,1.50,1.38,1.00
2013103100,00-0029293,2,1.71,2.00,2.00,2.50
2017102203,00-0033906,1,3.00,1.00,1.00,1.00
2016122405,00-0031428,3,1.73,1.88,1.25,1.00
2016092500,00-0030300,1,1.30,1.10,1.13,1.00
2009120610,00-0026998,1,1.50,1.38,1.38,1.25
2015092001,00-0028112,1,1.48,1.38,1.50,1.50
2013122206,00-0028091,1,1.28,1.63,1.38,1.50
2017102910,00-0030107,1,1.63,1.31,1.25,1.00
2016112702,00-0030521,1,1.21,1.13,1.00,1.00
2012120909,00-0026780,1,1.30,1.20,1.20,1.25
2015100402,00-0028017,2,1.06,1.25,1.50,1.25
2017010100,00-0029697,1,1.69,1.50,1.50,1.25
2012120906,00-0025418,1,1.82,1.25,1.38,1.50
2018110410,00-0031062,1,1.52,1.19,1.13,1.25
2019102002,00-0032128,2,1.40,1.38,1.50,1.50
2012121608,00-0025389,2,1.88,3.38,3.25,3.75
2017120307,00-0033906,1,2.17,1.29,1.29,1.50
2012092306,00-0026000,2,1.53,1.38,1.38,1.25
2019102100,00-0032208,1,1.36,1.13,1.13,1.25
2013122902,00-0030456,1,1.33,1.25,1.25,1.25
2009110801,00-0025529,3,1.33,1.33,1.33,1.33
2010101004,00-0027880,1,1.33,2.00,2.00,2.00
2014092110,00-0026364,1,1.62,1.38,1.75,1.50
